name,name_variants,papers_with_clevers,first_copublication,last_copublication,group_affiliation_first_year,group_affiliation_last_year,evidence_tier,site,role_assigned,role_source
"Lindvall, Olle","Lindvall, Olle",1,2013,2013,,,C,,,
"Liskay, R Michael","Liskay, R Michael",1,2013,2013,,,C,,,
"Lissa, Delphine","Lissa, Delphine",1,2013,2013,,,C,,,
"Lu, Jinhua","Lu, Jinhua",1,2013,2013,,,C,,,
"Macůrková, Marie","Macůrková, Marie",1,2013,2013,,,C,,,
"Madoori, Pramod K","Madoori, Pramod K",1,2013,2013,,,C,,,
"Marko, Christina K","Marko, Christina K",1,2013,2013,,,C,,,
"Martins, Isabelle","Martins, Isabelle",1,2013,2013,,,C,,,
"Matsuzaki, Fumio","Matsuzaki, Fumio",1,2013,2013,,,C,,,
"McKinnon, Katherine","McKinnon, Katherine",1,2013,2013,,,C,,,
"McNeil, Nicole","McNeil, Nicole",1,2013,2013,,,C,,,
"Menon, Balaraj B","Menon, Balaraj B",1,2013,2013,,,C,,,
"Meyer-Luehmann, Melanie","Meyer-Luehmann, Melanie",1,2013,2013,,,C,,,
"Mills, Jason C","Mills, Jason C",1,2013,2013,,,C,,,
"Molaro, Antoine","Molaro, Antoine",1,2013,2013,,,C,,,
"Mommaas, A Mieke","Mommaas, A Mieke",1,2013,2013,,,C,,,
"Mommaas-Kienhuis, A Mieke","Mommaas-Kienhuis, A Mieke",1,2013,2013,,,C,,,
"Mulder, Joyce","Mulder, Joyce",1,2013,2013,,,C,,,
"Métivier, Didier","Métivier, Didier",1,2013,2013,,,C,,,
"Nakano, Haruo","Nakano, Haruo",1,2013,2013,,,C,,,
"Onderwater, Jos J M","Onderwater, Jos J M",1,2013,2013,,,C,,,
"Pacary, Emilie","Pacary, Emilie",1,2013,2013,,,C,,,
"Paton, Adrienne W","Paton, Adrienne W",1,2013,2013,,,C,,,
"Paton, James C","Paton, James C",1,2013,2013,,,C,,,
"Pilz, Gregor-Alexander","Pilz, Gregor-Alexander",1,2013,2013,,,C,,,
"Reillo, Isabel","Reillo, Isabel",1,2013,2013,,,C,,,
"Ried, Thomas","Ried, Thomas",1,2013,2013,,,C,,,
"Robey, Pamela G","Robey, Pamela G",1,2013,2013,,,C,,,
"Rosekrans, Sanne L","Rosekrans, Sanne L",1,2013,2013,,,C,,,
"Sattler de Sousa E Brito, Clara","Sattler de Sousa E Brito, Clara",1,2013,2013,,,C,,,
"Scholte, Bob J","Scholte, Bob J",1,2013,2013,,,C,,,
"Senovilla, Laura","Senovilla, Laura",1,2013,2013,,,C,,,
"Shibata, Darryl","Shibata, Darryl",1,2013,2013,,,C,,,
"Shitamukai, Atsunori","Shitamukai, Atsunori",1,2013,2013,,,C,,,
"Sibbel, Greg","Sibbel, Greg",1,2013,2013,,,C,,,
"Simmons, David G","Simmons, David G",1,2013,2013,,,C,,,
"Snoek, M","Snoek, M",1,2013,2013,,,C,,,
"Sojoodi, Mozhdeh","Sojoodi, Mozhdeh",1,2013,2013,,,C,,,
"Sone, Mizuki","Sone, Mizuki",1,2013,2013,,,C,,,
"Spijker, H Siebe","Spijker, H Siebe",1,2013,2013,,,C,,,
"Stahl, Ronny","Stahl, Ronny",1,2013,2013,,,C,,,
"Tolg, C","Tolg, C",1,2013,2013,,,C,,,
"Tu, Zhaowei","Tu, Zhaowei",1,2013,2013,,,C,,,
"Vitale, Ilio","Vitale, Ilio",1,2013,2013,,,C,,,
"Wang, Bingyan","Wang, Bingyan",1,2013,2013,,,C,,,
"Wang, Qiang","Wang, Qiang",1,2013,2013,,,C,,,
"Wang, Weixiang","Wang, Weixiang",1,2013,2013,,,C,,,
"Wielenga, Mattheus C B","Wielenga, Mattheus C B",1,2013,2013,,,C,,,
"Witte, Merlijn","Witte, Merlijn",1,2013,2013,2013,2013,A,Hubrecht/NIOB,,
"Yin, Xiaolei","Yin, Xiaolei",1,2013,2013,,,C,,,
"Zaldumbide, Arnaud","Zaldumbide, Arnaud",1,2013,2013,,,C,,,
"de Jong, Nienke W M","de Jong, Nienke W M",1,2013,2013,,,C,,,
"de Wit, Elzo","de Wit, Elzo",1,2013,2013,,,C,,,
"van Apeldoorn, Aart A","van Apeldoorn, Aart A",1,2013,2013,,,C,,,
"van Lidth de Jeude, Jooske F","van Lidth de Jeude, Jooske F",1,2013,2013,,,C,,,
"'t Hoen, Peter A C","'t Hoen, Peter A C",1,2014,2014,,,C,,,
"Abrahamsen, Tore G","Abrahamsen, Tore G",1,2014,2014,,,C,,,
"Adam, Rüdiger","Adam, Rüdiger",1,2014,2014,,,C,,,
"Ahrlund-Richter, Lars","Ahrlund-Richter, Lars",1,2014,2014,,,C,,,
"Akkerman, Ronald D L","Akkerman, Ronald D L",1,2014,2014,,,C,,,
"Alagesan, Brinda","Alagesan, Brinda",1,2014,2014,,,C,,,
"Alam, Intikhab","Alam, Intikhab",1,2014,2014,,,C,,,
"Albanese, Davide","Albanese, Davide",1,2014,2014,,,C,,,
"Altschuler, Gabriel M","Altschuler, Gabriel M",1,2014,2014,,,C,,,
"An, Zhengwen","An, Zhengwen",1,2014,2014,,,C,,,
"Andersson, Robin","Andersson, Robin",1,2014,2014,,,C,,,
"Archer, John A C","Archer, John A C",1,2014,2014,,,C,,,
"Ardito-Abraham, Christine M","Ardito-Abraham, Christine M",1,2014,2014,,,C,,,
"Arora, Vivek K","Arora, Vivek K",1,2014,2014,,,C,,,
"Bajic, Vladimir B","Bajic, Vladimir B",1,2014,2014,,,C,,,
"Balwierz, Piotr J","Balwierz, Piotr J",1,2014,2014,,,C,,,
"Barboza, Luendreo P","Barboza, Luendreo P",1,2014,2014,,,C,,,
"Barnes, Anthony P","Barnes, Anthony P",1,2014,2014,,,C,,,
"Basturk, Olca","Basturk, Olca",1,2014,2014,,,C,,,
"Bayram, Tülay","Bayram, Tülay",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Beltran, Himisha","Beltran, Himisha",1,2014,2014,,,C,,,
"Berrebi, Dominique","Berrebi, Dominique",1,2014,2014,,,C,,,
"Bertin, Nicolas","Bertin, Nicolas",1,2014,2014,,,C,,,
"Blake, Judith A","Blake, Judith A",1,2014,2014,,,C,,,
"Blanche, Stéphane","Blanche, Stéphane",1,2014,2014,,,C,,,
"Bolden, Jessica E","Bolden, Jessica E",1,2014,2014,,,C,,,
"Brown, Allyson","Brown, Allyson",1,2014,2014,,,C,,,
"Burroughs, A Maxwell","Burroughs, A Maxwell",1,2014,2014,,,C,,,
"Califano, Andrea","Califano, Andrea",1,2014,2014,,,C,,,
"Cannistraci, Carlo V","Cannistraci, Carlo V",1,2014,2014,,,C,,,
"Cao, Lin","Cao, Lin",1,2014,2014,,,C,,,
"Cao, Zhen","Cao, Zhen",1,2014,2014,,,C,,,
"Carbajo, Daniel","Carbajo, Daniel",1,2014,2014,,,C,,,
"Carver, Brett","Carver, Brett",1,2014,2014,,,C,,,
"Cathebras, Pascal","Cathebras, Pascal",1,2014,2014,,,C,,,
"Chan, Kok Hoe","Chan, Kok Hoe",1,2014,2014,,,C,,,
"Chen, Wanjun","Chen, Wanjun",1,2014,2014,,,C,,,
"Cheng, Grace H W","Cheng, Grace H W",1,2014,2014,,,C,,,
"Chi, Ping","Chi, Ping",1,2014,2014,,,C,,,
"Chiba, Kunitoshi","Chiba, Kunitoshi",1,2014,2014,,,C,,,
"Chierici, Marco","Chierici, Marco",1,2014,2014,,,C,,,
"Chu, Fuliang","Chu, Fuliang",1,2014,2014,,,C,,,
"Chu, Kent Man","Chu, Kent Man",1,2014,2014,,,C,,,
"Ciani, Yari","Ciani, Yari",1,2014,2014,,,C,,,
"Cost, Gregory J","Cost, Gregory J",1,2014,2014,,,C,,,
"Creighton, Brianna","Creighton, Brianna",1,2014,2014,,,C,,,
"Creyghton, Menno P","Creyghton, Menno P",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Creyghton, Paul M","Creyghton, Paul M",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Curtis, Kristen R","Curtis, Kristen R",1,2014,2014,,,C,,,
"Cutz, Ernest","Cutz, Ernest",1,2014,2014,,,C,,,
"Daikoku, Takiko","Daikoku, Takiko",1,2014,2014,,,C,,,
"Dalla, Emiliano","Dalla, Emiliano",1,2014,2014,,,C,,,
"Danila, Daniel C","Danila, Daniel C",1,2014,2014,,,C,,,
"Davies, E Graham","Davies, E Graham",1,2014,2014,,,C,,,
"Debré, Marianne","Debré, Marianne",1,2014,2014,,,C,,,
"Delcuze, Bethany","Delcuze, Bethany",1,2014,2014,,,C,,,
"Deng, Shibing","Deng, Shibing",1,2014,2014,,,C,,,
"Dey, Sudhansu K","Dey, Sudhansu K",1,2014,2014,,,C,,,
"Di, Wei","Di, Wei",1,2014,2014,,,C,,,
"Diehl, Alexander D","Diehl, Alexander D",1,2014,2014,,,C,,,
"Dimont, Emmanuel","Dimont, Emmanuel",1,2014,2014,,,C,,,
"Drabløs, Finn","Drabløs, Finn",1,2014,2014,,,C,,,
"Dyachuk, Vyacheslav","Dyachuk, Vyacheslav",1,2014,2014,,,C,,,
"Eastham, James A","Eastham, James A",1,2014,2014,,,C,,,
"Edmonds, Benjamin","Edmonds, Benjamin",1,2014,2014,,,C,,,
"Ellingsen, Christian Lycke","Ellingsen, Christian Lycke",1,2014,2014,,,C,,,
"Ernfors, Patrik","Ernfors, Patrik",1,2014,2014,,,C,,,
"Fang, Hai","Fang, Hai",1,2014,2014,,,C,,,
"Favorov, Alexander V","Favorov, Alexander V",1,2014,2014,,,C,,,
"Feigin, Michael E","Feigin, Michael E",1,2014,2014,,,C,,,
"Fernandez, Julio","Fernandez, Julio",1,2014,2014,,,C,,,
"Foglizzo, Valentina","Foglizzo, Valentina",1,2014,2014,,,C,,,
"Forster, Ryan","Forster, Ryan",1,2014,2014,,,C,,,
"Francescatto, Margherita","Francescatto, Margherita",1,2014,2014,,,C,,,
"Freeman, Tom C","Freeman, Tom C",1,2014,2014,,,C,,,
"Frith, Martin C","Frith, Martin C",1,2014,2014,,,C,,,
"Fukayama, Masashi","Fukayama, Masashi",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Furino, Masaaki","Furino, Masaaki",1,2014,2014,,,C,,,
"Furlan, Alessandro","Furlan, Alessandro",1,2014,2014,,,C,,,
"Furlanello, Cesare","Furlanello, Cesare",1,2014,2014,,,C,,,
"Gardner, Alexandria P","Gardner, Alexandria P",1,2014,2014,,,C,,,
"Gaucher, Eric A","Gaucher, Eric A",1,2014,2014,,,C,,,
"Geeven, Geert","Geeven, Geert",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Gibson, Andrew P","Gibson, Andrew P",1,2014,2014,,,C,,,
"Gil, Marine","Gil, Marine",1,2014,2014,,,C,,,
"Goldman, Nick","Goldman, Nick",1,2014,2014,,,C,,,
"Gopalan, Anuradha","Gopalan, Anuradha",1,2014,2014,,,C,,,
"Gough, Julian","Gough, Julian",1,2014,2014,,,C,,,
"Gregory, Philip D","Gregory, Philip D",1,2014,2014,,,C,,,
"Gundem, Gunes","Gundem, Gunes",1,2014,2014,,,C,,,
"Haberle, Vanja","Haberle, Vanja",1,2014,2014,,,C,,,
"Hammell, Molly","Hammell, Molly",1,2014,2014,,,C,,,
"Hansen, Kelly","Hansen, Kelly",1,2014,2014,,,C,,,
"Hao, Yuan","Hao, Yuan",1,2014,2014,,,C,,,
"Harbers, Matthias","Harbers, Matthias",1,2014,2014,,,C,,,
"Hide, Winston","Hide, Winston",1,2014,2014,,,C,,,
"Ho Sui, Shannan J","Ho Sui, Shannan J",1,2014,2014,,,C,,,
"Hockemeyer, Dirk","Hockemeyer, Dirk",1,2014,2014,,,C,,,
"Hofmann, Oliver M","Hofmann, Oliver M",1,2014,2014,,,C,,,
"Hoof, Ilka","Hoof, Ilka",1,2014,2014,,,C,,,
"Hultman, Isabell","Hultman, Isabell",1,2014,2014,,,C,,,
"Huminiecki, Lukasz","Huminiecki, Lukasz",1,2014,2014,,,C,,,
"Héritier, Sébastien","Héritier, Sébastien",1,2014,2014,,,C,,,
"Iida, Kei","Iida, Kei",1,2014,2014,,,C,,,
"Inda, Márcia A","Inda, Márcia A",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Jaenisch, Rudolf","Jaenisch, Rudolf",1,2014,2014,,,C,,,
"Jankovic, Boris R","Jankovic, Boris R",1,2014,2014,,,C,,,
"Jia, Hui","Jia, Hui",1,2014,2014,,,C,,,
"Jin, Ying","Jin, Ying",1,2014,2014,,,C,,,
"Jordan, Alexander J","Jordan, Alexander J",1,2014,2014,,,C,,,
"Joshi, Anagha","Joshi, Anagha",1,2014,2014,,,C,,,
"Jurman, Giuseppe","Jurman, Giuseppe",1,2014,2014,,,C,,,
"Jørgensen, Mette","Jørgensen, Mette",1,2014,2014,,,C,,,
"Kaczkowski, Bogumil","Kaczkowski, Bogumil",1,2014,2014,,,C,,,
"Kajiyama, Kazuhiro","Kajiyama, Kazuhiro",1,2014,2014,,,C,,,
"Kalkhoven, Eric","Kalkhoven, Eric",1,2014,2014,,,C,,,
"Kasianov, Artem S","Kasianov, Artem S",1,2014,2014,,,C,,,
"Katayama, Shintaro","Katayama, Shintaro",1,2014,2014,,,C,,,
"Kaukua, Nina","Kaukua, Nina",1,2014,2014,,,C,,,
"Kawaguchi, Shuji","Kawaguchi, Shuji",1,2014,2014,,,C,,,
"Kemperman, Hans","Kemperman, Hans",1,2014,2014,,,C,,,
"Kiani, Samira","Kiani, Samira",1,2014,2014,,,C,,,
"Klimstra, David S","Klimstra, David S",1,2014,2014,,,C,,,
"Klug, Lillian R","Klug, Lillian R",1,2014,2014,,,C,,,
"Konstantinidou, Chrysoula","Konstantinidou, Chrysoula",1,2014,2014,,,C,,,
"Kossai, Myriam","Kossai, Myriam",1,2014,2014,,,C,,,
"Krampitz, Sarah","Krampitz, Sarah",1,2014,2014,,,C,,,
"Kroone, Chantal","Kroone, Chantal",1,2014,2014,,,C,,,
"Kulakovskiy, Ivan V","Kulakovskiy, Ivan V",1,2014,2014,,,C,,,
"Kuroda, Masahiko","Kuroda, Masahiko",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Kwon, Andrew T","Kwon, Andrew T",1,2014,2014,,,C,,,
"Lai, Christine S","Lai, Christine S",1,2014,2014,,,C,,,
"Lambert, Nathalie","Lambert, Nathalie",1,2014,2014,,,C,,,
"Laros, Jeroen F J","Laros, Jeroen F J",1,2014,2014,,,C,,,
"Laudone, Vincent P","Laudone, Vincent P",1,2014,2014,,,C,,,
"Leach, Steven D","Leach, Steven D",1,2014,2014,,,C,,,
"Lemale, Julie","Lemale, Julie",1,2014,2014,,,C,,,
"Lenhard, Boris","Lenhard, Boris",1,2014,2014,,,C,,,
"Leteurtre, Emmanuelle","Leteurtre, Emmanuelle",1,2014,2014,,,C,,,
"Li, Kang","Li, Kang",1,2014,2014,,,C,,,
"Lilje, Berit","Lilje, Berit",1,2014,2014,,,C,,,
"Lipovich, Leonard","Lipovich, Leonard",1,2014,2014,,,C,,,
"Liu, Donghua","Liu, Donghua",1,2014,2014,,,C,,,
"Loh, Kyle M","Loh, Kyle M",1,2014,2014,,,C,,,
"Lopes, Natalia Assaife","Lopes, Natalia Assaife",1,2014,2014,,,C,,,
"Ludwig, Michael","Ludwig, Michael",1,2014,2014,,,C,,,
"MacDonald, Theresa Y","MacDonald, Theresa Y",1,2014,2014,,,C,,,
"Maddison, Mark","Maddison, Mark",1,2014,2014,,,C,,,
"Mahlaoui, Nizar","Mahlaoui, Nizar",1,2014,2014,,,C,,,
"Makeev, Vsevolod J","Makeev, Vsevolod J",1,2014,2014,,,C,,,
"Man, Jonathan L K","Man, Jonathan L K",1,2014,2014,,,C,,,
"Manabe, Ichiro","Manabe, Ichiro",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Mar, Jessica C","Mar, Jessica C",1,2014,2014,,,C,,,
"Marchand, Benoit","Marchand, Benoit",1,2014,2014,,,C,,,
"Mathelier, Anthony","Mathelier, Anthony",1,2014,2014,,,C,,,
"McCaig, Colin D","McCaig, Colin D",1,2014,2014,,,C,,,
"Medvedeva, Yulia A","Medvedeva, Yulia A",1,2014,2014,,,C,,,
"Meehan, Terrence F","Meehan, Terrence F",1,2014,2014,,,C,,,
"Meunier, Charles","Meunier, Charles",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Meynert, Alison","Meynert, Alison",1,2014,2014,,,C,,,
"Milne, Gillian","Milne, Gillian",1,2014,2014,,,C,,,
"Molenaar, I Quintus","Molenaar, I Quintus",1,2014,2014,,,C,,,
"Monroe, Glen R","Monroe, Glen R",1,2014,2014,,,C,,,
"Morali, Alain","Morali, Alain",1,2014,2014,,,C,,,
"Moreau-Massart, Brigitte","Moreau-Massart, Brigitte",1,2014,2014,,,C,,,
"Morris, Michael J","Morris, Michael J",1,2014,2014,,,C,,,
"Mosquera, Juan-Miguel","Mosquera, Juan-Miguel",1,2014,2014,,,C,,,
"Motakis, Efthymios","Motakis, Efthymios",1,2014,2014,,,C,,,
"Mudie, Laura","Mudie, Laura",1,2014,2014,,,C,,,
"Mungall, Christopher J","Mungall, Christopher J",1,2014,2014,,,C,,,
"Nagai, Ryozo","Nagai, Ryozo",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Nakao, Kazuki","Nakao, Kazuki",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Nakatsukasa, Hiroko","Nakatsukasa, Hiroko",1,2014,2014,,,C,,,
"Nakaya, Takeo","Nakaya, Takeo",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Neelapu, Sattva S","Neelapu, Sattva S",1,2014,2014,,,C,,,
"Ng, Man Kin","Ng, Man Kin",1,2014,2014,,,C,,,
"Nischke, Patrick","Nischke, Patrick",1,2014,2014,,,C,,,
"Nishiyori, Hiromi","Nishiyori, Hiromi",1,2014,2014,,,C,,,
"Nitschke, Patrick","Nitschke, Patrick",1,2014,2014,,,C,,,
"Noazaki, Tadasuke","Noazaki, Tadasuke",1,2014,2014,,,C,,,
"Nurieva, Roza I","Nurieva, Roza I",1,2014,2014,,,C,,,
"Ogawa, Seishi","Ogawa, Seishi",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Ohimiya, Hiroko","Ohimiya, Hiroko",1,2014,2014,,,C,,,
"Oymar, Knut","Oymar, Knut",1,2014,2014,,,C,,,
"Pachlopnik-Schmid, Jana","Pachlopnik-Schmid, Jana",1,2014,2014,,,C,,,
"Pachter, Lior","Pachter, Lior",1,2014,2014,,,C,,,
"Pain, Arnab","Pain, Arnab",1,2014,2014,,,C,,,
"Pais, Ramona","Pais, Ramona",1,2014,2014,,,C,,,
"Pappin, Darryl J","Pappin, Darryl J",1,2014,2014,,,C,,,
"Persson, Helena","Persson, Helena",1,2014,2014,,,C,,,
"Petljak, Mia","Petljak, Mia",1,2014,2014,,,C,,,
"Pfaller, Kristian","Pfaller, Kristian",1,2014,2014,,,C,,,
"Philippet, Pierre","Philippet, Pierre",1,2014,2014,,,C,,,
"Picard, Capucine","Picard, Capucine",1,2014,2014,,,C,,,
"Plessy, Charles","Plessy, Charles",1,2014,2014,,,C,,,
"Prendergast, James G D","Prendergast, James G D",1,2014,2014,,,C,,,
"Pu, Jin","Pu, Jin",1,2014,2014,,,C,,,
"Qi, Hai","Qi, Hai",1,2014,2014,,,C,,,
"Qian, Pengxu","Qian, Pengxu",1,2014,2014,,,C,,,
"Rackham, Owen J L","Rackham, Owen J L",1,2014,2014,,,C,,,
"Rakhshandehroo, Maryam","Rakhshandehroo, Maryam",1,2014,2014,,,C,,,
"Ramazanoglu, Sinan","Ramazanoglu, Sinan",1,2014,2014,,,C,,,
"Ramilowski, Jordan A","Ramilowski, Jordan A",1,2014,2014,,,C,,,
"Ran, Leili","Ran, Leili",1,2014,2014,,,C,,,
"Rashid, Mamoon","Rashid, Mamoon",1,2014,2014,,,C,,,
"Rathkopf, Dana E","Rathkopf, Dana E",1,2014,2014,,,C,,,
"Ravasi, Timothy","Ravasi, Timothy",1,2014,2014,,,C,,,
"Rebar, Edward J","Rebar, Edward J",1,2014,2014,,,C,,,
"Regalado, Samuel G","Regalado, Samuel G",1,2014,2014,,,C,,,
"Reilly, Gabrielle","Reilly, Gabrielle",1,2014,2014,,,C,,,
"Reinink, Peter","Reinink, Peter",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Rejto, Paul A","Rejto, Paul A",1,2014,2014,,,C,,,
"Rennie, Sarah","Rennie, Sarah",1,2014,2014,,,C,,,
"Rieux-Laucat, Frédéric","Rieux-Laucat, Frédéric",1,2014,2014,,,C,,,
"Rivera, Keith D","Rivera, Keith D",1,2014,2014,,,C,,,
"Robinson, Ben","Robinson, Ben",1,2014,2014,,,C,,,
"Roncador, Marco","Roncador, Marco",1,2014,2014,,,C,,,
"Rubin, Mark A","Rubin, Mark A",1,2014,2014,,,C,,,
"Ruemmele, Frank","Ruemmele, Frank",1,2014,2014,,,C,,,
"Rye, Morten B","Rye, Morten B",1,2014,2014,,,C,,,
"Sanada, Masashi","Sanada, Masashi",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Sandelin, Albin","Sandelin, Albin",1,2014,2014,,,C,,,
"Sboner, Andrea","Sboner, Andrea",1,2014,2014,,,C,,,
"Scardino, Peter T","Scardino, Peter T",1,2014,2014,,,C,,,
"Schaefer, Ulf","Schaefer, Ulf",1,2014,2014,,,C,,,
"Schaeffer, Lorian","Schaeffer, Lorian",1,2014,2014,,,C,,,
"Scher, Howard I","Scher, Howard I",1,2014,2014,,,C,,,
"Schlesser, Patrick","Schlesser, Patrick",1,2014,2014,,,C,,,
"Schmeier, Sebastian","Schmeier, Sebastian",1,2014,2014,,,C,,,
"Schultes, Erik A","Schultes, Erik A",1,2014,2014,,,C,,,
"Schulz, Ansgar","Schulz, Ansgar",1,2014,2014,,,C,,,
"Scott, Roderick H","Scott, Roderick H",1,2014,2014,,,C,,,
"Semple, Colin A","Semple, Colin A",1,2014,2014,,,C,,,
"Sepulveda, Fernando","Sepulveda, Fernando",1,2014,2014,,,C,,,
"Shahidi, Maryam Khatibi","Shahidi, Maryam Khatibi",1,2014,2014,,,C,,,
"Shi, Stephanie T","Shi, Stephanie T",1,2014,2014,,,C,,,
"Shimoni, Yishai","Shimoni, Yishai",1,2014,2014,,,C,,,
"Simmini, Salvatore","Simmini, Salvatore",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Sirota, Inna","Sirota, Inna",1,2014,2014,,,C,,,
"Slovin, Susan F","Slovin, Susan F",1,2014,2014,,,C,,,
"Smart, James L","Smart, James L",1,2014,2014,,,C,,,
"Solomon, Stephen B","Solomon, Stephen B",1,2014,2014,,,C,,,
"Spector, Mona S","Spector, Mona S",1,2014,2014,,,C,,,
"Stapelbroek, Janneke M","Stapelbroek, Janneke M",1,2014,2014,,,C,,,
"Strom, Stephen","Strom, Stephen",1,2014,2014,,,C,,,
"Subbiah, Krishnaveni","Subbiah, Krishnaveni",1,2014,2014,,,C,,,
"Swoboda, Rolf K","Swoboda, Rolf K",1,2014,2014,,,C,,,
"Talbotec, Cécile","Talbotec, Cécile",1,2014,2014,,,C,,,
"Tamuri, Asif U","Tamuri, Asif U",1,2014,2014,,,C,,,
"Tanaka, Masami","Tanaka, Masami",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Tarpey, Patrick S","Tarpey, Patrick S",1,2014,2014,,,C,,,
"Tasdemir, Nilgun","Tasdemir, Nilgun",1,2014,2014,,,C,,,
"Tatum, Zuotian","Tatum, Zuotian",1,2014,2014,,,C,,,
"Taylor, Martin S","Taylor, Martin S",1,2014,2014,,,C,,,
"Terakawa, Jumpei","Terakawa, Jumpei",1,2014,2014,,,C,,,
"Thesleff, Irma","Thesleff, Irma",1,2014,2014,,,C,,,
"Thompson, Mark","Thompson, Mark",1,2014,2014,,,C,,,
"Thöni, Cornelia E","Thöni, Cornelia E",1,2014,2014,,,C,,,
"Tian, Qiang","Tian, Qiang",1,2014,2014,,,C,,,
"Touijer, Karim A","Touijer, Karim A",1,2014,2014,,,C,,,
"Toyoda, Tetsuro","Toyoda, Tetsuro",1,2014,2014,,,C,,,
"Toyodo, Hiroo","Toyodo, Hiroo",1,2014,2014,,,C,,,
"Trainor, Paul A","Trainor, Paul A",1,2014,2014,,,C,,,
"Undvall, Eva A","Undvall, Eva A",1,2014,2014,,,C,,,
"Valen, Elvind","Valen, Elvind",1,2014,2014,,,C,,,
"Vela, Ian","Vela, Ian",1,2014,2014,,,C,,,
"Veleva-Rotse, Biliana O","Veleva-Rotse, Biliana O",1,2014,2014,,,C,,,
"Verado, Roberto","Verado, Roberto",1,2014,2014,,,C,,,
"Verhaegh, Wim","Verhaegh, Wim",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Vermunt, Marit W","Vermunt, Marit W",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"Vitezic, Morana","Vitezic, Morana",1,2014,2014,,,C,,,
"Vorontsov, Ilya E","Vorontsov, Ilya E",1,2014,2014,,,C,,,
"Wang, Aibo","Wang, Aibo",1,2014,2014,,,C,,,
"Wang, Kai","Wang, Kai",1,2014,2014,,,C,,,
"Wanjala, Jackline N","Wanjala, Jackline N",1,2014,2014,,,C,,,
"Wasserman, Wyeth W","Wasserman, Wyeth W",1,2014,2014,,,C,,,
"Wedge, David C","Wedge, David C",1,2014,2014,,,C,,,
"Wei, Lai","Wei, Lai",1,2014,2014,,,C,,,
"Weis, Cleo-Aron","Weis, Cleo-Aron",1,2014,2014,,,C,,,
"Wilkinson, John E","Wilkinson, John E",1,2014,2014,,,C,,,
"Wood, Emily J","Wood, Emily J",1,2014,2014,,,C,,,
"Wright, Kevin","Wright, Kevin",1,2014,2014,,,C,,,
"Xie, Tao","Xie, Tao",1,2014,2014,,,C,,,
"Xu, Jiangchun","Xu, Jiangchun",1,2014,2014,,,C,,,
"Yordanov, Georgi N","Yordanov, Georgi N",1,2014,2014,,,C,,,
"Young, Robert S","Young, Robert S",1,2014,2014,,,C,,,
"Zabierowski, Susan E","Zabierowski, Susan E",1,2014,2014,,,C,,,
"Zhang, Qi Fan","Zhang, Qi Fan",1,2014,2014,,,C,,,
"Zhao, Min","Zhao, Min",1,2014,2014,,,C,,,
"Zhao, Siwei","Zhao, Siwei",1,2014,2014,,,C,,,
"Zomer, Anoek","Zomer, Anoek",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"de Hoon, Michiel J L","de Hoon, Michiel J L",1,2014,2014,,,C,,,
"de Lima Morais, David A","de Lima Morais, David A",1,2014,2014,,,C,,,
"van Haaften, Gijs","van Haaften, Gijs",1,2014,2014,,,C,,,
"van Haaften-Visser, Désirée Y","van Haaften-Visser, Désirée Y",1,2014,2014,,,C,,,
"van Hasselt, Peter M","van Hasselt, Peter M",1,2014,2014,,,C,,,
"van Heesch, Sebastiaan","van Heesch, Sebastiaan",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"van Nimwegen, Erik","van Nimwegen, Erik",1,2014,2014,,,C,,,
"van Ooijen, Henk","van Ooijen, Henk",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"van Wenum, Martien","van Wenum, Martien",1,2014,2014,,,C,,,
"van Wijngaarden, Simone","van Wijngaarden, Simone",1,2014,2014,,,C,,,
"van de Stolpe, Anja","van de Stolpe, Anja",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"van de Wiel, Paul","van de Wiel, Paul",1,2014,2014,2014,2014,A,Hubrecht/NIOB,,
"van den Berg, Bernard M","van den Berg, Bernard M",1,2014,2014,,,C,,,
"Aben, Katja K H","Aben, Katja K H",1,2015,2015,,,C,,,
